date,latitude,longitude,depth,mag,id
20150506,33.812,-117.6351667,5.98,3.07,ci37375864
20150506,37.9661667,-122.0433333,12.12,3.51,nc72444186
20150506,36.8752,-98.1615,3.276,3.5,us20002c7x
20150506,37.958,-122.0505,13.91,3.03,nc72444161
20150506,35.926,-97.345,4.9,3.1,us20002mqw
20150506,35.9228,-97.342,3.747,3.4,us20002c7d
20150506,37.2721,-98.0421,7.29,3.2,us20002c76
20150506,36.8714,-98.1544,6.744,3.1,us20002c6w
20150506,37.224,-98.1041,3.37,3,us20002c72
20150506,33.8128333,-116.9795,14.86,3.72,ci37375632
20150507,32.4817,-97.1006,2.54,4,us20002dm8
20150507,36.5085,-99.0681,7.986,3.3,us20002dl0
20150507,43.511,-105.1542,0,3.3,us100029ec
20150507,37.203,-98.0355,8.53,3,us20002dlh
20150507,36.2982,-96.8807,5,3.1,us20002dd8
20150507,48.3358333,-122.0843333,10.113,3.58,uw60998397
20150507,35.6071,-97.0542,4.28,3,us20002d8n
20150507,36.1202,-97.5764,3.332,3,us20002dhq
20150508,36.0256,-97.1076,5.081,3.2,us20002dzb
20150508,36.5151,-99.015,7.567,3.1,us20002dz8
20150508,35.8186,-97.2418,2.432,3.2,us20002dvm
20150508,36.6033,-97.8236,5.762,3.5,us20002ds6
20150508,36.5129,-99.0494,14.442,3.2,us20002dna
20150509,36.9602,-97.5881,5.037,3,us20002edx
20150509,44.3193,-114.8871,12.2,3,us20002e0x
20150509,36.935,-97.6407,1.888,3.1,us20002eq0
20150509,36.9432,-97.6373,5.644,3,us20002eqz
20150510,36.764,-98.688,8.2,3.3,us20002e94
20150510,35.0286667,-119.0738333,1.27,3.82,ci37377816
20150510,36.6239,-97.6898,6.368,3.3,us20002e5n
20150510,36.0765,-97.4515,4.137,3,us20002enq
20150510,36.8195,-97.7165,6.627,3.1,us20002ep9
20150512,36.3508,-97.0811,3.888,3.2,us20002ett
20150512,36.5175,-98.9653,3.522,3.1,us20002eqd
20150514,37.4761667,-118.7881667,3.993,3.05,nc72449371
20150514,35.6682,-97.3154,3.727,3.2,us1000291k
20150514,43.711,-105.4119,0,3.3,us10002bk0
20150514,29.3928,-102.558,15.8,4,us1000290e
20150514,37.0308,-97.9074,5,3.3,us100028xh
20150514,36.9396,-97.8487,5,3.1,us100028yz
20150515,36.3348,-96.8174,5,3.1,us1000296h
20150516,35.6035,-97.071,5,3,us100029sg
20150516,35.6076,-97.0601,3.7,3.3,us100029rq
20150516,37.4736667,-118.79,3.995,3.34,nc72450006
20150517,31.0512,-103.1931,5,3.1,us10002a1s
20150517,36.9597,-97.5921,4.78,3.1,us10002aai
20150517,35.826,-97.2249,6.466,3.4,us10002a0a
20150517,36.554,-97.182,8,3.2,us100029zb
20150517,41.8266,-119.673,6.8,3.2,nn00494669
20150518,44.5855,-110.3756667,4.29,3.04,uu60111082
20150518,36.9407,-97.6341,4.659,3,us10002ayf
20150518,32.8675,-96.9566,5,3.3,us10002a93
20150518,43.8182,-105.2384,0,3.3,us10002a91
20150518,35.8265,-97.2238,6.318,3,us10002a86
20150518,44.4344,-114.1085,5.66,3.3,us10002a7a
20150518,36.607,-98.6922,13.73,3.4,us10002a4s
20150518,35.8082,-97.4452,5.398,3.5,us10002a3i
20150518,35.8142,-97.4517,5.227,3,us10002a2w
20150518,31.3823333,-115.812,3.85,3.15,ci37164071
20150519,36.6628333,-120.8701667,-0.12,3.82,nc72451856
20150519,36.599,-98.6603,5,3,us10002awk
20150520,36.5144,-99.0086,6.243,3.3,us10002awq
20150520,44.3151,-114.8871,12.7,3,us10002azf
20150521,35.9936,-97.2263,4.498,3.3,us10002b4j
20150521,33.163,-115.6468333,3.39,3.33,ci37166303
20150521,33.1596667,-115.6483333,3.16,3.28,ci37166175
20150521,33.1621667,-115.6425,5.74,4.1,ci37166079
20150521,36.1086,-97.3114,5.283,3,us10002b6l
20150522,43.8242,-105.2142,0,3.3,us10002bmy
